region,country,iso3_country_code,note
North America,Canada,CAN,
North America,Saint Pierre and Miquelon,SPM,
North America,US Virgin Islands,VIR,
North America,USA,USA,
Latin America,Anguilla,AIA,
Latin America,Antigua and Barbuda,ATG,
Latin America,Argentina,ARG,
Latin America,Aruba,ABW,
Latin America,Bahamas,BHS,
Latin America,Barbados,BRB,
Latin America,Belize,BLZ,
Latin America,Bermuda,BMU,
Latin America,Bolivia (Plurinational State of),BOL,
Latin America,Bonaire,BES,"BES is the code for Bonaire, Sint Eustatius and Saba collectively; no Bonaire-only code exists, so this is an over-broad match"
Latin America,Br. Virgin Islands,VGB,
Latin America,Brazil,BRA,
Latin America,Cayman Islands,CYM,
Latin America,Chile,CHL,
Latin America,Colombia,COL,
Latin America,Costa Rica,CRI,
Latin America,Cuba,CUB,
Latin America,Curaçao,CUW,
Latin America,Dominica,DMA,
Latin America,Dominican Rep.,DOM,
Latin America,Ecuador,ECU,
Latin America,El Salvador,SLV,
Latin America,Falkland Islands (Malvinas),FLK,
Latin America,"Former Panama, excl.Canal Zone",,Historical trade category; no current ISO 3166-1 code. Present-day territory maps to Panama (PAN)
Latin America,Former Panama-CanalZone,,"Historical entity (Panama Canal Zone, dissolved 1979); formerly-used code PCZ withdrawn, no current ISO 3166-1 code"
Latin America,French Guiana,GUF,
Latin America,Grenada,GRD,
Latin America,Guadeloupe,GLP,
Latin America,Guatemala,GTM,
Latin America,Guyana,GUY,
Latin America,Haiti,HTI,
Latin America,Honduras,HND,
Latin America,Jamaica,JAM,
Latin America,Martinique,MTQ,
Latin America,Mexico,MEX,
Latin America,Montserrat,MSR,
Latin America,Neth. Antilles,,"Netherlands Antilles dissolved 2010; formerly-used code ANT (now in ISO 3166-3), no current ISO 3166-1 code"
Latin America,Neth. Antilles and Aruba,,"Composite historical label; no single ISO 3166-1 code. Components map to successor codes (e.g. ABW, CUW, SXM, BES)"
Latin America,Nicaragua,NIC,
Latin America,Panama,PAN,
Latin America,Paraguay,PRY,
Latin America,Peru,PER,
Latin America,Saint Barthelemy,BLM,
Latin America,Saint Kitts and Nevis,KNA,
Latin America,"Saint Kitts, Nevis and Anguilla",,Historical composite (dissolved 1980); no single ISO 3166-1 code. Components map to KNA and AIA
Latin America,Saint Lucia,LCA,
Latin America,Saint Maarten,SXM,
