 ,CountryCode,OECDPlasticProjReg
Aruba,ABW,Latin America
Afghanistan,AFG,Other non-OECD Asia
Angola,AGO,Other Africa
Anguilla,AIA,Latin America
Aland Islands,ALA,rest
Albania,ALB,Other Eurasia
Andorra,AND,rest
United Arab Emirates,ARE,Middle East & North Africa
Argentina,ARG,Latin America
Armenia,ARM,Other Eurasia
American Samoa,ASM,Other non-OECD Asia
Antarctica,ATA,Latin America
French Southern Territories,ATF,Other non-OECD Asia
Antigua and Barbuda,ATG,Latin America
Australia,AUS,OECD Oceania
Austria,AUT,OECD EU countries
Azerbaijan,AZE,Other Eurasia
Burundi,BDI,Other Africa
Belgium,BEL,OECD EU countries
Benin,BEN,Other Africa
"Bonaire, Sint Eustatius and Saba",BES,rest
Burkina Faso,BFA,Other Africa
Bangladesh,BGD,Other non-OECD Asia
Bulgaria,BGR,Other EU
Bahrain,BHR,Middle East & North Africa
Bahamas,BHS,Latin America
Bosnia and Herzegovina,BIH,Other Eurasia
Saint Barthelemy,BLM,Latin America
Belarus,BLR,Other Eurasia
Belize,BLZ,Latin America
Bermuda,BMU,Latin America
"Bolivia, Plurinational State of",BOL,Latin America
Brazil,BRA,Latin America
Barbados,BRB,Latin America
Brunei Darussalam,BRN,Other non-OECD Asia
Bhutan,BTN,Other non-OECD Asia
Bouvet Island,BVT,Latin America
Botswana,BWA,Other Africa
Central African Republic,CAF,Other Africa
Canada,CAN,Canada
Cocos (Keeling) Islands,CCK,Other non-OECD Asia
Switzerland,CHE,OECD Non-EU countries
Chile,CHL,Latin America
China,CHN,China
Cote d Ivoire,CIV,Other Africa
Cameroon,CMR,Other Africa
"Congo, the Democratic Republic of the",COD,Other Africa
Congo,COG,Other Africa
Cook Islands,COK,Other non-OECD Asia
Colombia,COL,Latin America
Comoros,COM,Other Africa
Cape Verde,CPV,Other Africa
Costa Rica,CRI,Latin America
Cuba,CUB,Latin America
Curacao,CUW,Latin America
Christmas Island,CXR,Other non-OECD Asia
Cayman Islands,CYM,Latin America
Cyprus,CYP,Other EU
Czech Republic,CZE,OECD EU countries
Germany,DEU,OECD EU countries
Djibouti,DJI,Other Africa
Dominica,DMA,Latin America
Denmark,DNK,OECD EU countries
Dominican Republic,DOM,Latin America
Algeria,DZA,Middle East & North Africa
Ecuador,ECU,Latin America
Egypt,EGY,Middle East & North Africa
Eritrea,ERI,Other Africa
Western Sahara,ESH,Middle East & North Africa
Spain,ESP,OECD EU countries
Estonia,EST,OECD Non-EU countries
Ethiopia,ETH,Other Africa
Finland,FIN,OECD EU countries
Fiji,FJI,Other non-OECD Asia
Falkland Islands (Malvinas),FLK,Latin America
France,FRA,OECD EU countries
Faroe Islands,FRO,rest
"Micronesia, Federated States of",FSM,rest
Gabon,GAB,Other Africa
United Kingdom,GBR,OECD EU countries
Georgia,GEO,Other Eurasia
Guernsey,GGY,rest
Ghana,GHA,Other Africa
Gibraltar,GIB,Other Eurasia
Guinea,GIN,Other Africa
Guadeloupe,GLP,Latin America
Gambia,GMB,Other Africa
Guinea-Bissau,GNB,Other Africa
Equatorial Guinea,GNQ,Other Africa
Greece,GRC,OECD EU countries
Grenada,GRD,Latin America
Greenland,GRL,rest
Guatemala,GTM,Latin America
French Guiana,GUF,Latin America
Guam,GUM,Other non-OECD Asia
Guyana,GUY,Latin America
Hong Kong,HKG,China
Heard Island and McDonald Islands,HMD,rest
Honduras,HND,Latin America
Croatia,HRV,Other EU
Haiti,HTI,Latin America
Hungary,HUN,OECD EU countries
Indonesia,IDN,Other non-OECD Asia
Isle of Man,IMN,rest
India,IND,India
British Indian Ocean Territory,IOT,Other non-OECD Asia
Ireland,IRL,OECD EU countries
"Iran, Islamic Republic of",IRN,Middle East & North Africa
Iraq,IRQ,Middle East & North Africa
Iceland,ISL,OECD Non-EU countries
Israel,ISR,Middle East & North Africa
Italy,ITA,OECD EU countries
Jamaica,JAM,Latin America
Jersey,JEY,rest
Jordan,JOR,Middle East & North Africa
Japan,JPN,OECD Asia
Kazakhstan,KAZ,Other Eurasia
Kenya,KEN,Other Africa
Kyrgyzstan,KGZ,Other Eurasia
Cambodia,KHM,Other non-OECD Asia
Kiribati,KIR,Other non-OECD Asia
Saint Kitts and Nevis,KNA,Latin America
"Korea, Republic of",KOR,OECD Asia
Kuwait,KWT,Middle East & North Africa
Lao People's Democratic Republic,LAO,Other non-OECD Asia
Lebanon,LBN,Middle East & North Africa
Liberia,LBR,Other Africa
Libya,LBY,Middle East & North Africa
Saint Lucia,LCA,Latin America
Liechtenstein,LIE,rest
Sri Lanka,LKA,Other non-OECD Asia
Lesotho,LSO,Other Africa
Lithuania,LTU,OECD Non-EU countries
Luxembourg,LUX,OECD EU countries
Latvia,LVA,OECD Non-EU countries
Macao,MAC,China
Saint Martin (French part),MAF,Latin America
Morocco,MAR,Middle East & North Africa
Monaco,MCO,rest
"Moldova, Republic of",MDA,Other Eurasia
Madagascar,MDG,Other Africa
Maldives,MDV,Other non-OECD Asia
Mexico,MEX,Other OECD America
Marshall Islands,MHL,Other non-OECD Asia
"Macedonia, the former Yugoslav Republic of",MKD,Other Eurasia
Mali,MLI,Other Africa
Malta,MLT,Other EU
Myanmar,MMR,Other non-OECD Asia
Montenegro,MNE,Other Eurasia
Mongolia,MNG,Other non-OECD Asia
Northern Mariana Islands,MNP,Other non-OECD Asia
Mozambique,MOZ,Other Africa
Mauritania,MRT,Other Africa
Montserrat,MSR,Latin America
Martinique,MTQ,Latin America
Mauritius,MUS,Other Africa
Malawi,MWI,Other Africa
Malaysia,MYS,Other non-OECD Asia
Mayotte,MYT,Other Africa
Namibia,NAM,Other Africa
New Caledonia,NCL,Other non-OECD Asia
Niger,NER,Other Africa
Norfolk Island,NFK,Other non-OECD Asia
Nigeria,NGA,Other Africa
Nicaragua,NIC,Latin America
Niue,NIU,Other non-OECD Asia
Netherlands,NLD,OECD EU countries
Norway,NOR,OECD Non-EU countries
Nepal,NPL,Other non-OECD Asia
Nauru,NRU,Other non-OECD Asia
New Zealand,NZL,OECD Oceania
Oman,OMN,Middle East & North Africa
Pakistan,PAK,Other non-OECD Asia
Panama,PAN,Latin America
Pitcairn,PCN,Other non-OECD Asia
Peru,PER,Latin America
Philippines,PHL,Other non-OECD Asia
Palau,PLW,Other non-OECD Asia
